First,Last,Page,Category,TW,TWfollowers,Quote
Scott,Adams,261,2,scottadamsays,432000,"""Writing is a skill that requires practice."""
James,Altucher,246,2,jaltucher,205000,"""We all have two or three dozen massive pain points in our lives that everyone can relate to. I try to basically write about those and how I attempted to recover from them. """
Sophia,Amoruso,376,2,sophiaamoruso,102000,"""A day that ends well is one that started with exercise. That's for sure."""
Marc,Andreessen,170,2,pmarca,762900,"""The number-one theme that companies have when they really struggle is they are not charging enough for their product."""
Sekou,Andrews,642,3,sekouandrews,5903,"""You must want to be a butterfly so badly you are willing to give up being a caterpillar."""
Patrick,Arnold,35,1,prototypenutrition,480,"""No quote just the father of prohormones."""
Peter,Attia,59,1,peterattiamd,128000,"""Keto works well for many people but its not ideal for all. """
Glenn,Beck,553,3,glennbeck,1200000,"""Be willing to fail or succeed on who you really are. Don't every try to be anything else."""
Scott,Belsky,359,2,scottbelsky,93300,"""It's not about ideas it's about makign ideas happen."""
Richard,Betts,563,3,yobetts,10100,"""Wine is a grocery not a luxury."""
Mike,Birbiglia,566,3,birbigs,625800,"""Art is socialism but life is capitalism."""
Alexis,Blumberg,303,2,abexlumberg,96500,"""Ask the dumb question everyone else is afraid to ask."""
Amelia,Boone,2,1,ameliaboone,40800,"""No one owes you anything."""
Justin,Boreta,356,2,theglitchmob,477000,"""Be the silence that listens."""
Tara,Brach,555,3,tarabrach,72200,"""There's a mystic who says there's only one really good question which is 'What am I unwilling to feel?'"""
Brene,Brown,586,3,brenebrown,735300,"""When I had the opportunity did I choose courage over comfort?"""
Bryan,Callen,483,3,bryancallen,320500,"""Penguins are basically feathered sausages for polar bears."""
Shay,Carl,441,3,shaycarl,689300,"""You can tell the true character of a man by how his dog and his kids react to him."""
Dan,Carlin,285,2,hardcorehistory,261600,"""Don't be afraid to do something you're not qualified to do."""
Ed,Catmull,309,2,edcatmull,20000,"""To become an artist learn to see."""
Margaret,Cho,539,3,margaretcho,483300,"""I really love the user-friendly quality of the word 'fuck.'"""
Paulo,Coelho,511,3,paulocoelho,15000000,"""The world is changed by your example not by your opinion."""
